Front,Back,Tags
Jak działa konwolucja?,"Mały filtr przesuwa się po obrazie i oblicza ważoną sumę lokalnego sąsiedztwa. Uczone filtry wykrywają krawędzie, tekstury i bardziej złożone wzorce.",Bank_37+:_obraz_i_lokalizacja_tekstu Bank_37_plus
Co to jest kernel konwolucyjny?,Macierz uczonych wag stosowana lokalnie do obrazu lub mapy cech. Rozmiar kernela wpływa na lokalny kontekst i koszt.,Bank_37+:_obraz_i_lokalizacja_tekstu Bank_37_plus
Co to jest padding?,Dodanie wartości wokół obrazu przed konwolucją. Pozwala kontrolować rozmiar wyjścia i zachować informacje przy krawędziach.,Bank_37+:_obraz_i_lokalizacja_tekstu Bank_37_plus
Co to jest stride konwolucji?,Krok przesuwania filtra. Stride większy od 1 zmniejsza rozdzielczość mapy cech.,Bank_37+:_obraz_i_lokalizacja_tekstu Bank_37_plus
Co to jest pooling?,"Operacja zmniejszająca rozdzielczość, np. max pooling wybiera maksimum w oknie. Zwiększa pole recepcyjne, ale traci szczegóły przestrzenne.",Bank_37+:_obraz_i_lokalizacja_tekstu Bank_37_plus
Co to jest pole recepcyjne?,"Obszar obrazu wejściowego, który może wpływać na daną aktywację. Głębsze warstwy mają większe pole recepcyjne i widzą szerszy kontekst.",Bank_37+:_obraz_i_lokalizacja_tekstu Bank_37_plus
Jak działa U-Net?,"Encoder kompresuje obraz, decoder odtwarza rozdzielczość, a skip connections przekazują drobne szczegóły z odpowiadających poziomów encodera.",Bank_37+:_obraz_i_lokalizacja_tekstu Bank_37_plus
Po co są skip connections w U-Net?,Downsampling usuwa dokładną informację o położeniu. Skip connections dostarczają decoderowi cechy wysokiej rozdzielczości potrzebne do odtworzenia granic i cienkich liter.,Bank_37+:_obraz_i_lokalizacja_tekstu Bank_37_plus
Jak działa Attention U-Net?,Attention gates obliczają mapę wag dla cech przekazywanych skip connection. Wzmacniają obszary przydatne decoderowi i tłumią część tła.,Bank_37+:_obraz_i_lokalizacja_tekstu Bank_37_plus
Czym jest U-Net++?,"Wariant U-Net z zagnieżdżonymi i gęstymi połączeniami pomiędzy encoderem i decoderem, mający zmniejszyć różnicę semantyczną cech.",Bank_37+:_obraz_i_lokalizacja_tekstu Bank_37_plus
Jak działa DeepLabV3+?,Wykorzystuje atrous convolutions do zbierania kontekstu na kilku skalach oraz decoder poprawiający granice segmentacji.,Bank_37+:_obraz_i_lokalizacja_tekstu Bank_37_plus
Co to jest atrous/dilated convolution?,Konwolucja z odstępami pomiędzy elementami kernela. Zwiększa pole recepcyjne bez proporcjonalnego zwiększenia liczby parametrów i bez dodatkowego downsamplingu.,Bank_37+:_obraz_i_lokalizacja_tekstu Bank_37_plus
Co to jest FPN?,"Feature Pyramid Network łączy głębokie cechy semantyczne z płytszymi cechami wysokiej rozdzielczości, tworząc reprezentacje dla kilku skal obiektów.",Bank_37+:_obraz_i_lokalizacja_tekstu Bank_37_plus
Co to jest BatchNorm?,"Normalizuje aktywacje przy użyciu statystyk batcha, a następnie stosuje uczoną skalę i przesunięcie. Przy bardzo małym batchu statystyki mogą być niestabilne.",Bank_37+:_obraz_i_lokalizacja_tekstu Bank_37_plus
Co to jest GroupNorm?,"Dzieli kanały pojedynczej próbki na grupy i normalizuje każdą grupę. Nie zależy od liczby obrazów w batchu, dlatego jest użyteczna przy batch size 1.",Bank_37+:_obraz_i_lokalizacja_tekstu Bank_37_plus
Czym jest funkcja ReLU?,"ReLU(x) = max(0, x). Wprowadza nieliniowość i jest tania obliczeniowo, ale neurony mogą pozostać nieaktywne dla stale ujemnych wejść.",Bank_37+:_obraz_i_lokalizacja_tekstu Bank_37_plus
Czym jest SiLU?,"SiLU(x) = xσ(x). Jest gładką aktywacją, która zachowuje niewielkie wartości ujemne i była użyta we własnym backbone OMR.",Bank_37+:_obraz_i_lokalizacja_tekstu Bank_37_plus
Dlaczego BCE i Dice Loss można łączyć?,"BCE daje stabilny błąd pikselowy, a Dice bezpośrednio optymalizuje nakładanie się masek i ogranicza wpływ dominującego tła.",Bank_37+:_obraz_i_lokalizacja_tekstu Bank_37_plus
Co robi parametr pos_weight w BCE?,"Zwiększa koszt błędów klasy pozytywnej. W lokalizacji tekstu pomaga, ponieważ pikseli tekstu jest znacznie mniej niż tła.",Bank_37+:_obraz_i_lokalizacja_tekstu Bank_37_plus
Jaka jest różnica między IoU i Dice?,"Obie mierzą nakładanie. IoU dzieli przecięcie przez sumę zbiorów, a Dice podwójne przecięcie przez sumę pól. Dice jest monotonicznie związany z IoU.",Bank_37+:_obraz_i_lokalizacja_tekstu Bank_37_plus
Jak dobiera się próg maski?,"Na zbiorze walidacyjnym, analizując kompromis precision–recall i wpływ na dalszy pipeline. Zbyt niski próg generuje false positives, zbyt wysoki pomija tekst. 5. Pytania ogólne: OCR",Bank_37+:_obraz_i_lokalizacja_tekstu Bank_37_plus
Czym jest OCR?,"Optical Character Recognition to przekształcanie obrazu tekstu do sekwencji znaków. Może obejmować detekcję tekstu, korekcję regionów i rozpoznawanie.",Bank_37+:_OCR Bank_37_plus
Jak działa CRNN?,"CNN tworzy mapę cech obrazu, wymiar poziomy jest traktowany jako sekwencja, BiLSTM modeluje kontekst, a głowica CTC przewiduje znaki bez jawnego dopasowania ich do pikseli.",Bank_37+:_OCR Bank_37_plus
"Dlaczego wysokość obrazu jest kompresowana, a szerokość zachowywana?","Tekst jest czytany od lewej do prawej. Wysokość zawiera kształt znaków, który można skompresować do cech, natomiast szerokość reprezentuje kolejność znaków.",Bank_37+:_OCR Bank_37_plus
Co to jest RNN?,Sieć przetwarzająca sekwencję z ukrytym stanem przenoszącym informację pomiędzy krokami. Klasyczne RNN mają problem z długimi zależnościami i zanikaniem gradientu.,Bank_37+:_OCR Bank_37_plus
Jak działa LSTM?,"Używa stanu komórki oraz bramek wejścia, zapominania i wyjścia, aby kontrolować przepływ informacji. Ułatwia modelowanie dłuższych zależności.",Bank_37+:_OCR Bank_37_plus
Co oznacza BiLSTM?,"Dwa LSTM przetwarzają sekwencję w przeciwnych kierunkach. Ich reprezentacje są łączone, dzięki czemu znak korzysta z kontekstu po obu stronach.",Bank_37+:_OCR Bank_37_plus
Co to jest residual block w ResNet?,"Blok uczący poprawkę F (x), którą dodaje się do wejścia. Skrót pomaga propagacji gradientu i uczeniu głębszych modeli.",Bank_37+:_OCR Bank_37_plus
Jak działa CTC?,"Model przewiduje dłuższą sekwencję etykiet i blanków. CTC sumuje prawdopodobieństwa monotonicznych ścieżek, które po usunięciu blanków i scaleniu powtórzeń dają tekst docelowy.",Bank_37+:_OCR Bank_37_plus
Po co CTC używa blank tokenu?,"Oznacza brak znaku w danym kroku i pozwala rozdzielać powtarzające się litery, które inaczej zostałyby scalone.",Bank_37+:_OCR Bank_37_plus
Jakie założenie ma CTC?,Kolejność etykiet jest monotoniczna względem wejścia. CTC nie modeluje swobodnych przestawień znaków.,Bank_37+:_OCR Bank_37_plus
Czym różni się greedy decoding od beam search?,Greedy wybiera najlepszą klasę w każdym kroku. Beam search utrzymuje kilka hipotez pełnej sekwencji i może łączyć wynik z modelem językowym.,Bank_37+:_OCR Bank_37_plus
Dlaczego beam search może być lepszy?,Najbardziej prawdopodobna lokalna decyzja nie musi tworzyć najbardziej prawdopodobnego pełnego napisu. Beam search uwzględnia alternatywne ścieżki.,Bank_37+:_OCR Bank_37_plus
Co to jest charset?,Zbiór znaków rozpoznawanych przez model. Liczba klas CTC to liczba znaków plus blank. Zmiana charsetu bez zgodnego checkpointu powoduje niezgodność głowicy modelu.,Bank_37+:_OCR Bank_37_plus
Dlaczego myślnik jest ważny w OCR partytury?,Może oznaczać podział słowa na sylaby przypisane kolejnym nutom. Jego utrata zmienia synchronizację tekstu i melodii.,Bank_37+:_OCR Bank_37_plus
Co to jest edit distance?,"Minimalna liczba podstawień, usunięć i wstawień potrzebnych do zmiany jednego napisu w drugi. Jest podstawą CER i WER.",Bank_37+:_OCR Bank_37_plus
Jak oblicza się CER?,"S + D + I CER =, N gdzie S, D, I to podstawienia, usunięcia i wstawienia, a N długość referencji.",Bank_37+:_OCR Bank_37_plus
Czym różni się CER od WER?,"CER liczy operacje na znakach, a WER na słowach. CER jest dokładniejszy dla krótkich cropów i sylab, WER lepiej opisuje pełne wypowiedzi.",Bank_37+:_OCR Bank_37_plus
Co to jest exact match accuracy?,"Odsetek próbek, dla których cały napis jest identyczny z referencją. Jeden błędny znak powoduje błąd całej próbki.",Bank_37+:_OCR Bank_37_plus
"Dlaczego CER może być niski, a exact match znacznie niższy?","Wiele napisów może mieć tylko jeden drobny błąd. CER uzna go za małą różnicę, ale exact match odrzuci całą próbkę.",Bank_37+:_OCR Bank_37_plus
Czy CER może przekroczyć 100%?,"Tak, jeżeli model wygeneruje dużo dodatkowych znaków i liczba wstawień przekroczy długość referencji.",Bank_37+:_OCR Bank_37_plus
Jak działa Transformer w OCR?,"Self-attention modeluje zależności pomiędzy wszystkimi pozycjami cech obrazu. Kodowanie pozycyjne informuje o kolejności, a głowica może być CTC lub autoregresyjna.",Bank_37+:_OCR Bank_37_plus
Dlaczego Transformer potrzebuje kodowania pozycyjnego?,Self-attention bez dodatkowej informacji jest niezmienniczy na permutację pozycji i nie zna naturalnej kolejności sekwencji.,Bank_37+:_OCR Bank_37_plus
Jak działa TrOCR?,"Encoder obrazu tworzy reprezentację wizualną, a autoregresyjny Transformer decoder generuje tekst token po tokenie, warunkując kolejny token na poprzednich.",Bank_37+:_OCR Bank_37_plus
Czym TrOCR różni się od modelu Transformer-CTC?,TrOCR używa autoregresyjnego dekodera i jawnie modeluje zależności między wygenerowanymi tokenami. Transformer-CTC przewiduje etykiety równolegle nad osią cech i używa redukcji CTC.,Bank_37+:_OCR Bank_37_plus
Jak poprawić OCR tekstu wokalnego?,"Fine-tuning na partyturach, lepsze cropy, zachowanie pełnych wierszy, beam search, model językowy, słownik i metryki oceniające sylabizację oraz zgodność z liczbą nut. 6. Pytania ogólne: OMR i detekcja obiektów",Bank_37+:_OCR Bank_37_plus
Czym OMR różni się od OCR?,"OMR odtwarza strukturę muzyczną, w której znaczenie symbolu zależy od położenia i relacji. OCR zwykle odczytuje liniową sekwencję znaków.",Bank_37+:_OMR_i_detekcja Bank_37_plus
Dlaczego samo wykrycie notehead nie daje jeszcze nuty?,"Do ustalenia wysokości potrzebne są pięciolinia, klucz i znaki chromatyczne, a do czasu trwania stem, beam, flag, kropka i kontekst rytmiczny.",Bank_37+:_OMR_i_detekcja Bank_37_plus
Czym jest DeepScoresV2?,"Duży syntetyczny zbiór drukowanych partytur do detekcji obiektów muzycznych, zawierający 136 klas, axis-aligned i oriented bounding boxes oraz bardzo wiele małych obiektów.",Bank_37+:_OMR_i_detekcja Bank_37_plus
Jakie są zalety syntetycznych danych OMR?,"Duża skala, precyzyjne i tanie adnotacje, kontrola klas i możliwość automatycznego generowania wielu wariantów.",Bank_37+:_OMR_i_detekcja Bank_37_plus
Jakie są wady syntetycznych danych?,"Brak części cech rzeczywistych zdjęć i skanów, inny rozkład fontów, szumu, układów stron i artefaktów. Model może nauczyć się cech generatora.",Bank_37+:_OMR_i_detekcja Bank_37_plus
Czym różni się wariant dense od complete?,Dense koncentruje się na gęsto anotowanych symbolach i był używany w głównych eksperymentach. Complete obejmuje szerszy wariant danych. Dokładne porównanie wymaga zachowania tego samego protokołu i budżetu.,Bank_37+:_OMR_i_detekcja Bank_37_plus
Jak działa Faster R-CNN?,"Backbone tworzy mapę cech. RPN generuje proposals. RoIAlign pobiera cechy każdego regionu, a drugi etap klasyfikuje obiekt i doprecyzowuje bounding box.",Bank_37+:_OMR_i_detekcja Bank_37_plus
Co to jest backbone detektora?,"Sieć przekształcająca obraz w mapy cech. Jej rozdzielczość, pole recepcyjne i jakość cech wpływają na zdolność wykrywania obiektów.",Bank_37+:_OMR_i_detekcja Bank_37_plus
Co to jest RPN?,"Region Proposal Network przewiduje dla anchors prawdopodobieństwo obiektu i poprawkę boxa, tworząc listę regionów kandydackich dla drugiego etapu.",Bank_37+:_OMR_i_detekcja Bank_37_plus
Co to jest anchor?,"Wstępny prostokąt o określonym rozmiarze i proporcji umieszczany w pozycji mapy cech. Model przewiduje, czy odpowiada obiektowi oraz jak go przesunąć i przeskalować.",Bank_37+:_OMR_i_detekcja Bank_37_plus
Dlaczego w OMR potrzebne są mikro-kotwice?,Wiele symboli ma tylko kilka pikseli po przeskalowaniu. Standardowe anchors z detekcji obrazów naturalnych byłyby zbyt duże.,Bank_37+:_OMR_i_detekcja Bank_37_plus
Dlaczego potrzebne są ekstremalne aspect ratios?,"Stem i barline są cienkie i pionowe, beam oraz staff są długie i poziome, a zwykłe proporcje 0,5–2 nie opisują dobrze ich geometrii.",Bank_37+:_OMR_i_detekcja Bank_37_plus
Jak anchors są przypisywane do ground truth podczas treningu?,"Na podstawie IoU. Kotwice o wysokim IoU stają się pozytywne, o niskim negatywne, a część pośrednich może być ignorowana.",Bank_37+:_OMR_i_detekcja Bank_37_plus
Co to jest objectness?,"Prawdopodobieństwo, że region zawiera dowolny obiekt pierwszoplanowy, niezależnie od jego konkretnej klasy.",Bank_37+:_OMR_i_detekcja Bank_37_plus
Co to jest bounding-box regression?,"Przewidywanie korekty położenia i rozmiaru wstępnego boxa, zwykle jako przesunięcia środka i logarytmiczne zmiany szerokości oraz wysokości.",Bank_37+:_OMR_i_detekcja Bank_37_plus
Co to jest RoIAlign?,"Operacja pobierająca mapę cech o stałym rozmiarze z regionu o dowolnym rozmiarze, używając interpolacji bez brutalnego zaokrąglania współrzędnych.",Bank_37+:_OMR_i_detekcja Bank_37_plus
Czym RoIAlign różni się od RoIPool?,"RoIPool kwantyzuje granice regionu, co powoduje błędy położenia. RoIAlign zachowuje współrzędne zmiennoprzecinkowe i interpoluje cechy.",Bank_37+:_OMR_i_detekcja Bank_37_plus
Co to jest NMS?,"Non-Maximum Suppression usuwa nachodzące detekcje tej samej klasy, pozostawiając najwyżej ocenione boxy.",Bank_37+:_OMR_i_detekcja Bank_37_plus
Jak próg NMS wpływa na wynik?,Niski próg agresywnie usuwa boxy i może skasować bliskie prawdziwe obiekty. Wysoki próg pozostawia więcej duplikatów.,Bank_37+:_OMR_i_detekcja Bank_37_plus
Co to jest confidence score?,Ocena pewności predykcji. Nie musi być dobrze skalibrowanym prawdopodobieństwem. Próg confidence steruje kompromisem precision–recall.,Bank_37+:_OMR_i_detekcja Bank_37_plus
Co to jest IoU?,pole przecięcia IoU =. pole sumy Mierzy nakładanie przewidzianego i referencyjnego boxa.,Bank_37+:_OMR_i_detekcja Bank_37_plus
Dlaczego IoU jest surowe dla małych obiektów?,Przesunięcie o kilka pikseli jest dużą częścią małego boxa i może gwałtownie obniżyć IoU.,Bank_37+:_OMR_i_detekcja Bank_37_plus
Co to jest precision w detekcji?,Odsetek predykcji uznanych za prawdziwe: T P /(T P + F P ).,Bank_37+:_OMR_i_detekcja Bank_37_plus
Co to jest recall w detekcji?,"Odsetek obiektów referencyjnych, które wykryto: T P /(T P + F N ).",Bank_37+:_OMR_i_detekcja Bank_37_plus
Co to jest F1?,"Średnia harmoniczna precision i recall. Jest wysoka tylko wtedy, gdy oba wyniki są wysokie.",Bank_37+:_OMR_i_detekcja Bank_37_plus
Co to jest krzywa precision–recall?,Wykres precision względem recall przy zmianie progu confidence. Pokazuje kompromis pomiędzy fałszywymi predykcjami i pominięciami.,Bank_37+:_OMR_i_detekcja Bank_37_plus
Co to jest AP?,Average Precision to pole pod krzywą precision–recall dla jednej klasy i określonego progu IoU.,Bank_37+:_OMR_i_detekcja Bank_37_plus
Czym różni się AP50 od AP75?,"AP50 wymaga IoU co najmniej 0,5, a AP75 co najmniej 0,75. AP75 silniej ocenia dokładność lokalizacji.",Bank_37+:_OMR_i_detekcja Bank_37_plus
Co oznacza mAP w tej pracy?,"Średnią AP po klasach i progach IoU od 0,50 do 0,95 ze skokiem 0,05.",Bank_37+:_OMR_i_detekcja Bank_37_plus
Dlaczego mAP może nie odpowiadać jakości muzycznej?,"Traktuje klasy według protokołu detekcyjnego, ale błędy różnych symboli mają różny wpływ. Pominięty clef lub notehead może być ważniejszy niż błąd nieużywanej artykulacji.",Bank_37+:_OMR_i_detekcja Bank_37_plus
Co to jest macro-average?,"Średnia, w której każda klasa ma podobną wagę niezależnie od liczby instancji. Podkreśla wyniki klas rzadkich.",Bank_37+:_OMR_i_detekcja Bank_37_plus
Co to jest micro-average?,Agregacja wszystkich instancji przed liczeniem metryki. Jest zdominowana przez klasy częste.,Bank_37+:_OMR_i_detekcja Bank_37_plus
Co to jest support klasy?,Liczba referencyjnych instancji klasy. Wynik klasy z supportem 1 jest znacznie mniej stabilny niż wynik klasy z tysiącami obiektów.,Bank_37+:_OMR_i_detekcja Bank_37_plus
Co to jest output stride backbone’u?,Stosunek przesunięcia na obrazie do przesunięcia o jedną komórkę mapy cech. Stride 8 oznacza mapę dwukrotnie gęstszą w każdym wymiarze niż stride 16.,Bank_37+:_OMR_i_detekcja Bank_37_plus
Dlaczego mniejszy stride pomaga małym obiektom?,Zachowuje więcej szczegółów przestrzennych i daje więcej pozycji cech dla małego symbolu. Kosztem jest większa pamięć i liczba obliczeń.,Bank_37+:_OMR_i_detekcja Bank_37_plus
Dlaczego mniejszy stride może obniżyć recall po degradacji?,"Wyższa rozdzielczość może być bardziej wrażliwa na lokalny szum, a zmiana cech i confidence może prowadzić do bardziej konserwatywnych predykcji. Efekt nie zależy wyłącznie od detalu.",Bank_37+:_OMR_i_detekcja Bank_37_plus
Dlaczego stosuje się kafelkowanie stron?,Pozwala zachować wysoką rozdzielczość symboli bez przetwarzania całej ogromnej strony naraz.,Bank_37+:_OMR_i_detekcja Bank_37_plus
Co się dzieje z symbolem przeciętym granicą kafla?,"Może być częściowo widoczny lub wygenerować słabą predykcję. Overlap daje szansę, że w sąsiednim kaflu będzie widoczny w całości.",Bank_37+:_OMR_i_detekcja Bank_37_plus
