Front,Back,Tags
Co to jest efekt Rungego?,"To silne oscylacje wielomianu interpolacyjnego wysokiego stopnia, zwykle przy końcach przedziału dla równoodległych węzłów. Przeciwdziała się mu przez splajny albo węzły Czebyszewa.",Algorytmy_i_numeryczne
Po co stosuje się pivoting w eliminacji Gaussa?,"Pivoting wybiera stabilniejszy element główny, unika dzielenia przez zero albo bardzo małą liczbę i ogranicza narastanie błędów numerycznych.",Algorytmy_i_numeryczne
Kiedy szczególnie opłaca się rozkład LU?,"Gdy rozwiązujemy wiele układów z tą samą macierzą A i różnymi prawymi stronami b. Rozkład liczymy raz, a potem wykonujemy szybkie podstawiania.",Algorytmy_i_numeryczne
Jaka jest aktualizacja w metodzie Newtona dla zera funkcji jednej zmiennej?,"x_{k+1} = x_k - f(x_k) / f'(x_k). Metoda jest szybka lokalnie, ale wymaga pochodnej i dobrego punktu startowego.",Algorytmy_i_numeryczne
"Dlaczego bisekcja jest wolniejsza, ale bezpieczna?","Działa dla funkcji ciągłej ze zmianą znaku na końcach przedziału i w każdym kroku zawęża przedział o połowę. Zbiega liniowo, ale ma gwarancję.",Algorytmy_i_numeryczne
Kiedy metody Monte Carlo są atrakcyjne w całkowaniu numerycznym?,"Szczególnie w dużym wymiarze, gdzie klasyczne siatki cierpią na przekleństwo wymiarowości. Błąd standardowy MC maleje jak O(N^{-1/2}), niezależnie od wymiaru w tempie względem liczby próbek.",Algorytmy_i_numeryczne
Jaki jest warunek konieczny minimum lokalnego bez ograniczeń dla funkcji różniczkowalnej?,"Jeśli minimum jest wewnętrzne i funkcja jest różniczkowalna, to gradient w punkcie minimum musi być zerowy: grad f(x*) = 0.",Optymalizacja
Czym metoda Newtona różni się od największego spadku?,"Największy spadek używa tylko gradientu. Newton używa też Hessianu i rozwiązuje układ z krzywizną, dzięki czemu może mieć zbieżność kwadratową blisko minimum, ale jest droższy.",Optymalizacja
Jakie składniki mają warunki KKT?,"Stacjonarność Lagrangianu, dopuszczalność pierwotna, dopuszczalność dualna mnożników nierówności i komplementarność lambda_i g_i(x) = 0.",Optymalizacja
Czym FPTAS różni się od PTAS?,"PTAS dla każdego ustalonego epsilon>0 daje rozwiązanie (1+epsilon)-aproksymacyjne w czasie wielomianowym względem rozmiaru instancji, ale wykładnik lub stała mogą być bardzo złe jako funkcja 1/epsilon. FPTAS jest silniejszy: czas musi być wielomianowy zarówno względem rozmiaru wejścia, jak i 1/epsilon. Dlatego FPTAS daje praktyczniejszą kontrolę kompromisu dokładność-czas.",Optymalizacja
Jakie dwie własności uzasadniają programowanie dynamiczne?,"Programowanie dynamiczne opiera się na dwóch własnościach: optymalnej podstrukturze i nakładających się podproblemach. Optymalna podstruktura oznacza, że optimum całości można zbudować z optimów mniejszych problemów. Nakładanie się podproblemów oznacza, że te same wartości pojawiają się wiele razy, więc warto je zapamiętać w tablicy albo memoizacji. Jeśli podproblemy się nie powtarzają, zwykłe dziel i zwyciężaj może wystarczyć.",Optymalizacja
Czym charakteryzuje się projekt informatyczny?,"Jest tymczasowym przedsięwzięciem tworzącym unikalny rezultat IT. Ma cel, zakres, budżet, termin, interesariuszy, ryzyka i kryteria akceptacji.",Zarządzanie
Jaka jest główna różnica między projektem a pracą operacyjną?,"Projekt wprowadza zmianę i ma koniec. Praca operacyjna jest ciągła, powtarzalna i utrzymuje działanie usługi lub procesu.",Zarządzanie
Jakie są trzy role w Scrumie?,"Product Owner odpowiada za wartość i backlog, Scrum Master za proces i usuwanie przeszkód, Developers za wytworzenie przyrostu.",Zarządzanie
Kiedy podejście kaskadowe ma sens?,"Gdy wymagania są stabilne, potrzebna jest formalna dokumentacja i kontrola zmian, a koszt późnych zmian jest wysoki.",Zarządzanie
Na czym polega metoda rezolucji w rachunku predykatów?,"Rezolucja to metoda automatycznego dowodzenia przez sprzeczność. Aby pokazać, że z teorii T wynika teza beta, dodaje się do T negację beta, przekształca wszystkie formuły do postaci klauzulowej, a następnie stosuje regułę rezolucji do par klauzul z literałami komplementarnymi. W rachunku predykatów literały dopasowuje się unifikacją. Jeżeli uda się wyprowadzić klauzulę pustą, to zbiór T razem z negacją beta jest niespełnialny, więc T implikuje beta.",Reprezentacja_wiedzy Pytania_ze_strony_MiNI
Czym jest automatyczne dowodzenie twierdzeń w ujęciu z wykładu o rezolucji?,"Mamy zbiór zdań T oraz zdanie beta i chcemy algorytmicznie ustalić, czy T dowodzi beta, czyli T ⊢ beta. Formalny dowód to sekwencja formuł, w której każdy krok jest aksjomatem, przesłanką z T albo wynikiem zastosowania reguły wnioskowania do wcześniejszych kroków. Sama definicja dowodu nie mówi jednak, jak go znaleźć. Rezolucja daje procedurę poszukiwania dowodu, szczególnie wygodną po sprowadzeniu formuł do klauzul.",Reprezentacja_wiedzy
Jak rozumieć podejście knowledge base/query w metodzie rezolucji?,"Zbiór formuł T można traktować jako bazę wiedzy, a zdanie beta jako zapytanie. Jeśli T ⊢ beta, baza odpowiada YES; jeśli nie da się tego dowieść w danym systemie, odpowiadamy NO lub nie znajdujemy dowodu. W rezolucji zapytanie sprawdza się refutacyjnie: dodaje się negację beta do bazy i próbuje wykazać niespełnialność przez wyprowadzenie klauzuli pustej.",Reprezentacja_wiedzy
Jakie są najważniejsze własności i ograniczenia metody rezolucji?,"Reguła rezolucji jest poprawna: rezolwenta wynika logicznie z klauzul wejściowych. Dla rachunku predykatów metoda rezolucji jest też zupełna w sensie refutacyjnym: jeśli T implikuje beta, to istnieje dowód rezolucyjny z T oraz ¬beta. Ograniczenie praktyczne polega na tym, że można wygenerować bardzo dużo klauzul, a proces przeszukiwania ogólnie nie musi się zakończyć. Dlatego stosuje się strategie wyboru klauzul, np. liniową rezolucję.",Reprezentacja_wiedzy
"Czym są atom, literal, literały komplementarne i klauzula?","Atom to elementarna formuła logiczna, np. P(x) albo Student(Piotr). Literal to atom albo jego negacja. Dwa literały są komplementarne, gdy jeden jest negacją drugiego, np. P(a) i ¬P(a). Klauzula to alternatywa literałów, np. P(x) ∨ ¬Q(x). Klauzulę można traktować jak zbiór literałów. Klauzula pusta oznacza fałsz i jest celem dowodu rezolucyjnego przez sprzeczność.",Reprezentacja_wiedzy
Czym jest koniunkcyjna postać normalna CNF?,"Formuła jest w CNF, gdy jest koniunkcją klauzul, czyli koniunkcją alternatyw literałów. Przykład: (P ∨ Q) ∧ (¬P ∨ R). W rezolucji CNF jest wygodna, bo cały zbiór przesłanek można traktować jako zbiór klauzul, na których działa jedna reguła wnioskowania. Każdą formułę rachunku zdań można przekształcić do równoważnej formuły w CNF, używając m.in. eliminacji implikacji, przesuwania negacji do atomów i rozdzielności alternatywy względem koniunkcji.",Reprezentacja_wiedzy
Jaka jest reguła rezolucji w rachunku zdań?,"Reguła rezolucji usuwa parę literałów komplementarnych z dwóch klauzul i łączy pozostałe literały. Z klauzul λ ∨ α oraz ¬λ ∨ β można wywnioskować rezolwentę α ∨ β. Reguła jest poprawna semantycznie: jeśli obie przesłanki są prawdziwe, to rezolwenta też musi być prawdziwa. W dowodzie refutacyjnym wielokrotne stosowanie tej reguły ma doprowadzić do klauzuli pustej.",Reprezentacja_wiedzy
Czym jest dowód rezolucyjny i drzewo rezolucji?,"Dowód rezolucyjny to sekwencja klauzul, w której każda klauzula jest albo klauzulą wejściową z przekształconego zbioru T ∪ {¬beta}, albo rezolwentą wcześniejszych klauzul. Dowód kończy się sukcesem, gdy pojawi się klauzula pusta. Drzewo rezolucji pokazuje tę samą strukturę graficznie: liście są klauzulami wejściowymi, węzły wewnętrzne są rezolwentami, a korzeń to klauzula pusta.",Reprezentacja_wiedzy
Czym jest liniowa rezolucja?,"Liniowa rezolucja ogranicza kształt dowodu: jedna gałąź, nazywana ciągiem klauzul głównych, jest rozwijana krok po kroku przez rezolucję z klauzulami bocznymi. Zwykle zaczyna się od klauzuli związanej z zanegowaną tezą. Ograniczenie to porządkuje przeszukiwanie przestrzeni dowodów i jest ważne praktycznie, bo pełna rezolucja może generować bardzo wiele możliwych par klauzul.",Reprezentacja_wiedzy
Czym jest preneksowa koniunkcyjna postać normalna PCNF?,"PCNF to postać formuły pierwszego rzędu, w której wszystkie kwantyfikatory stoją na początku, a za nimi znajduje się macierz w CNF. Ogólny schemat to Q1 x1 ... Qn xn . phi, gdzie phi jest koniunkcją klauzul. Taka postać jest krokiem przygotowawczym do rezolucji w rachunku predykatów, bo pozwala uporządkować kwantyfikatory, potem usunąć egzystencjalne przez skolemizację i otrzymać zbiór klauzul z domyślnymi kwantyfikatorami ogólnymi.",Reprezentacja_wiedzy
Jak przekształca się formułę pierwszego rzędu do PCNF przed rezolucją?,"Najpierw usuwa się implikacje i równoważności, potem przesuwa negacje do poziomu atomów, zmieniając przy tym kwantyfikatory według praw De Morgana. Następnie standaryzuje się zmienne, aby różne kwantyfikatory nie używały tej samej nazwy przypadkowo, przenosi się kwantyfikatory na początek formuły i przekształca macierz do CNF. Celem nie jest elegancka postać formuły, tylko uzyskanie zbioru klauzul nadających się do rezolucji.",Reprezentacja_wiedzy
Czym jest skolemizacja i czym różni się stała Skolema od funkcji Skolema?,"Skolemizacja usuwa kwantyfikatory egzystencjalne z formuły w PCNF, zachowując spełnialność potrzebną w dowodzie refutacyjnym. Jeżeli zmienna egzystencjalna nie zależy od wcześniejszych kwantyfikatorów ogólnych, zastępuje się ją nową stałą Skolema. Jeżeli występuje po kwantyfikatorach ogólnych, zastępuje się ją funkcją Skolema zależną od tych zmiennych ogólnych. Przykład: ∃x P(x) daje P(a), a ∀x ∃y Likes(x,y) daje ∀x Likes(x,f(x)).",Reprezentacja_wiedzy
Czym jest podstawienie w rachunku predykatów?,"Podstawienie to skończony zbiór przypisań zmiennych do termów, np. {x ← a, y ← f(z)}, gdzie zmienne po lewej są różne, a term nie powinien zawierać podstawianej zmiennej. Zastosowanie podstawienia do formuły lub termu polega na jednoczesnej zamianie wszystkich wystąpień wskazanych zmiennych. Podstawienia są potrzebne, bo w rezolucji pierwszego rzędu literały rzadko są identyczne od razu; trzeba je dopasować.",Reprezentacja_wiedzy
Czym są unifikator i najogólniejszy unifikator MGU?,"Zbiór wyrażeń jest unifikowalny, gdy istnieje podstawienie, które czyni je identycznymi. Takie podstawienie nazywa się unifikatorem. Najogólniejszy unifikator, MGU, to unifikator, z którego każdy inny unifikator można otrzymać przez dodatkowe podstawienie. Przykładowo P(x) i P(a) mają MGU {x ← a}. W rezolucji używa się MGU, aby nie robić zbyt szczegółowych założeń i zachować ogólność dowodu.",Reprezentacja_wiedzy
Czym jest disagreement set i jaka jest idea algorytmu unifikacji?,"Disagreement set to zbiór fragmentów wyrażeń w pierwszym miejscu, w którym te wyrażenia różnią się składniowo. Algorytm unifikacji zaczyna od pustego podstawienia, znajduje disagreement set, a jeśli zawiera zmienną i term niezawierający tej zmiennej, dodaje odpowiednie podstawienie i stosuje je do całego zbioru wyrażeń. Proces kończy się sukcesem, gdy wszystkie wyrażenia staną się identyczne, albo porażką, gdy różnicy nie da się usunąć poprawnym podstawieniem.",Reprezentacja_wiedzy
Po co w rezolucji pierwszego rzędu jest unifikacja?,"W rachunku zdań literały komplementarne muszą być takie same poza negacją. W rachunku predykatów mogą różnić się zmiennymi i termami, np. Student(x) oraz Student(Piotr). Unifikacja znajduje podstawienie, które dopasowuje takie literały, a potem reguła rezolucji działa już na ich wspólnej instancji. Bez unifikacji rezolucja pierwszego rzędu byłaby zbyt słaba i nie mogłaby wykorzystać ogólnych reguł z kwantyfikatorami.",Reprezentacja_wiedzy
Czym jest binarna rezolwenta w rachunku predykatów?,"Binarna rezolwenta powstaje z dwóch klauzul po wcześniejszym rozdzieleniu ich zmiennych, znalezieniu literałów komplementarnych i obliczeniu MGU dla odpowiadających im atomów. Po zastosowaniu podstawienia usuwa się parę dopasowanych literałów, a pozostałe literały z obu klauzul tworzą nową klauzulę. To uogólnienie reguły rezolucji z rachunku zdań na formuły z predykatami, zmiennymi i funkcjami.",Reprezentacja_wiedzy
Czym jest faktoryzacja klauzuli i po co jest potrzebna?,"Faktoryzacja upraszcza klauzulę przez zunifikowanie części jej literałów i usunięcie powtórzeń. Jest potrzebna, bo w rachunku predykatów sama binarna rezolucja bez faktoryzacji może nie wystarczyć do wyprowadzenia sprzeczności z niespójnych klauzul. Intuicyjnie faktoryzacja pozwala potraktować kilka podobnych literałów w jednej klauzuli jako jedną bardziej konkretną instancję.",Reprezentacja_wiedzy
Jak wygląda ogólny algorytm metody rezolucji dla rachunku predykatów?,"Dla teorii T i tezy beta najpierw dodaje się ¬beta. Każdą formułę sprowadza się do PCNF, wykonuje skolemizację i zamienia na zbiór klauzul. Jeśli klauzula pusta jest już w zbiorze, dowód jest zakończony. W przeciwnym razie wybiera się pary klauzul z unifikowalnymi literałami komplementarnymi, liczy rezolwentę, dodaje ją do zbioru i powtarza proces. Jeśli pojawi się klauzula pusta, teza została dowiedziona; jeśli nie ma już możliwych rezolwent, dowodu tą metodą nie znaleziono. Proces ogólnie nie musi się zakończyć.",Reprezentacja_wiedzy
Na czym polega answer extraction w rezolucji?,"Answer extraction dotyczy zapytań egzystencjalnych typu: kto spełnia własność phi(x). Zamiast szukać tylko sprzeczności, dodaje się pomocniczy predykat Answer(x), którego nie ma w bazie wiedzy. W trakcie rezolucji nie tyle czeka się na klauzulę pustą, ile na klauzulę zawierającą sam predykat Answer z konkretnym termem. Ten term jest odpowiedzią, np. Answer(tweety) oznacza, że znaleziono obiekt spełniający zapytanie.",Reprezentacja_wiedzy
Jak wygląda główna pętla algorytmu ewolucyjnego?,"Typowa pętla algorytmu ewolucyjnego to: inicjalizacja populacji, ocena fitness, selekcja rodziców, krzyżowanie, mutacja, ocena potomków i sukcesja, czyli wybór populacji następnej generacji. Selekcja przesuwa populację w stronę lepszych rozwiązań, mutacja utrzymuje eksplorację, a krzyżowanie próbuje łączyć dobre fragmenty rozwiązań. Kryterium stopu może zależeć od liczby generacji, braku poprawy albo osiągnięcia jakości.",AI_i_eksperckie
Dlaczego reprezentacja osobnika jest krytyczna w algorytmie ewolucyjnym?,"Reprezentacja osobnika decyduje, jakie rozwiązania są w ogóle osiągalne i co oznaczają małe zmiany genotypu. Dobra reprezentacja zachowuje dopuszczalność albo ułatwia naprawę, pozwala operatorom tworzyć sensowne potomstwo i sprawia, że podobne genotypy mają podobne fenotypy. Zła reprezentacja może powodować, że mutacja i krzyżowanie produkują śmieci lub niszczą ważne relacje problemu.",AI_i_eksperckie
Jakie są cztery fazy Monte Carlo Tree Search?,"Monte Carlo Tree Search składa się z czterech faz: selection, expansion, simulation i backpropagation. W selection schodzimy po drzewie, równoważąc eksplorację i eksploatację, np. wzorem UCB/UCT. W expansion dodajemy nowy węzeł, w simulation wykonujemy rollout do końca albo przybliżonej oceny, a w backpropagation aktualizujemy statystyki odwiedzonych węzłów. Metoda jest użyteczna, gdy pełne drzewo gry jest zbyt duże.",AI_i_eksperckie
Jak formalnie można opisać agenta w SI?,Jako funkcję z historii perceptów do akcji: f: P* -> A. Agent postrzega środowisko sensorami i działa przez aktuatory.,AI_i_eksperckie
Na czym polega inteligencja rojowa?,"Wiele prostych jednostek działa lokalnie bez centralnego sterowania, a globalnie powstaje złożone zachowanie. Przykłady to ACO, PSO i modele stadne.",AI_i_eksperckie
Na czym opiera się Prolog?,"Na faktach i regułach w postaci klauzul Horna, unifikacji, rezolucji SLD i backtrackingu. Zapytanie jest celem, który Prolog próbuje dowieść.",AI_i_eksperckie
Czym jest negacja jako porażka w Prologu?,"Uznajemy nie-p, jeśli nie udało się dowieść p. To nie jest klasyczna negacja, tylko założenie zamkniętego świata.",AI_i_eksperckie
"Co znaczy, że reguła w systemie eksperckim jest minimalna?","Nie można usunąć żadnego warunku z poprzednika bez utraty wymaganej jakości, poprawności albo zdolności rozróżniania decyzji.",AI_i_eksperckie
Co robi PCA?,"PCA znajduje ortogonalne kierunki największej wariancji danych. Po wycentrowaniu danych wyznacza się wektory własne macierzy kowariancji albo SVD; pierwsze składowe zachowują najwięcej wariancji w sensie liniowej projekcji. PCA służy do redukcji wymiaru, wizualizacji i odszumiania, ale jest metodą liniową i nienadzorowaną, więc nie musi zachowywać informacji najlepiej rozdzielającej klasy.",Dane
Czym różni się redukcja wymiaru od selekcji cech?,"Redukcja wymiaru tworzy nowe zmienne, np. składowe PCA. Selekcja cech wybiera podzbiór oryginalnych zmiennych.",Dane
Co oznacza MNAR w brakach danych?,"Missing Not At Random: prawdopodobieństwo braku zależy od brakującej wartości albo ukrytej zmiennej. To najtrudniejszy mechanizm, bo prosta imputacja może dać bias.",Dane
Po co oddziela się zbiór walidacyjny od testowego?,"Zbiór walidacyjny służy do wyboru modelu, hiperparametrów, progu, checkpointu i decyzji projektowych. Zbiór testowy powinien być użyty dopiero na końcu do uczciwego oszacowania generalizacji. Jeśli wielokrotnie patrzymy na test i na jego podstawie poprawiamy model, test staje się częścią procesu uczenia, co daje zbyt optymistyczny wynik.",Dane
Co jest podstawowym cyklem uczenia ze wzmocnieniem?,"Agent obserwuje stan S_t, wybiera akcję A_t, środowisko zwraca nagrodę R_{t+1} i nowy stan S_{t+1}. Celem jest maksymalizacja oczekiwanego zwrotu.",Uczenie_ze_wzmocnieniem
Czym różni się pasywne RL od aktywnego RL?,"W pasywnym RL polityka jest dana i ją oceniamy. W aktywnym RL agent szuka dobrej polityki, więc musi równoważyć eksplorację i eksploatację.",Uczenie_ze_wzmocnieniem
Z czego składa się MDP?,"MDP składa się ze zbioru stanów S, akcji A, funkcji przejścia P(s'|s,a), funkcji nagrody R(s,a,s') oraz współczynnika dyskontowania gamma. Własność Markowa oznacza, że rozkład następnego stanu i nagrody zależy od bieżącego stanu i akcji, a nie od całej historii. Polityka pi wybiera akcje w stanach, a celem jest maksymalizacja oczekiwanego zdyskontowanego zwrotu.",Uczenie_ze_wzmocnieniem
Co wyraża równanie Bellmana?,"Równanie Bellmana zapisuje wartość stanu jako natychmiastową nagrodę plus zdyskontowaną wartość przyszłości. Dla polityki pi: V^pi(s)=E[R_{t+1}+gamma V^pi(S_{t+1}) | S_t=s]. Dla optimum wybiera się akcję maksymalizującą oczekiwaną nagrodę i przyszłą wartość. To podstawa programowania dynamicznego, TD learning i Q-learningu.",Uczenie_ze_wzmocnieniem
Jaki jest błąd TD(0)?,"Błąd TD(0) to delta = r + gamma V(s') - V(s). Jest różnicą między bieżącą estymacją wartości V(s) a jednopunktowym celem bootstrapowanym z nagrody i wartości następnego stanu. Aktualizacja ma postać V(s) <- V(s) + alpha*delta. TD łączy próbki z doświadczenia z bootstrapowaniem, więc może uczyć się bez czekania na koniec epizodu.",Uczenie_ze_wzmocnieniem
Czym TD różni się od Monte Carlo w predykcji wartości?,"MC aktualizuje po pełnym zwrocie, zwykle po epizodzie. TD aktualizuje po każdym kroku, używając bootstrappingu R + gamma V(S').",Uczenie_ze_wzmocnieniem
Dlaczego Q-learning jest off-policy?,"Q-learning jest off-policy, bo aktualizuje Q(s,a) w stronę celu używającego max_a' Q(s',a'), czyli zachłannej polityki docelowej, niezależnie od tego, jaką akcję faktycznie wybierze polityka eksplorująca. Agent może zachowywać się epsilon-greedy, ale uczy się wartości polityki zachłannej względem aktualnych Q.",Uczenie_ze_wzmocnieniem
Czym różni się uczenie nadzorowane od nienadzorowanego?,"Nadzorowane ma pary wejście-etykieta i minimalizuje błąd względem celu. Nienadzorowane nie ma etykiet i odkrywa strukturę, np. klastry lub reprezentacje.",Sieci_neuronowe
Jaka jest główna idea sieci Hopfielda?,"Sieć Hopfielda to rekurencyjna pamięć skojarzeniowa. Wzorce zapisane w wagach stają się atraktorami dynamiki: po podaniu zaszumionego lub niepełnego wzorca asynchroniczne aktualizacje powinny sprowadzić stan do najbliższego zapamiętanego wzorca. Nie jest to klasyfikator z warstwami feedforward, tylko układ dynamiczny minimalizujący energię.",Sieci_neuronowe
Jakie warunki gwarantują zbieżność asynchronicznej sieci Hopfielda do stanu stabilnego?,"Wystarczające są symetryczne wagi i zera na przekątnej. Wtedy energia nie rośnie przy aktualizacji asynchronicznej, a liczba stanów jest skończona.",Sieci_neuronowe
Co robi mapa Kohonena SOM?,"SOM Kohonena to nienadzorowana mapa prototypów zachowująca topologię danych. Dla próbki znajduje się neuron zwycięski BMU o najbliższym wektorze wag, a następnie aktualizuje zwycięzcę i jego sąsiadów na siatce. Dzięki malejącemu promieniowi sąsiedztwa mapa najpierw porządkuje się globalnie, a potem dopasowuje lokalne szczegóły.",Sieci_neuronowe
Z jakim problemem kojarzą się modele Grossberga/ART?,"Modele Grossberga/ART dotyczą dylematu stabilność-plastyczność: sieć ma uczyć się nowych wzorców, ale nie zapominać starych kategorii. ART wybiera kategorię, sprawdza dopasowanie przez parametr vigilance i albo aktualizuje istniejący prototyp, albo tworzy nową kategorię. Wyższe vigilance daje więcej, bardziej szczegółowych kategorii.",Sieci_neuronowe
Jak dobrać architekturę sieci do typu danych?,"MLP pasuje do danych wektorowych, CNN do obrazów, RNN/LSTM/Transformer do sekwencji, autoenkoder do kompresji, SOM do nienadzorowanej mapy, Hopfield do pamięci skojarzeniowej.",Sieci_neuronowe
Na czym polega backpropagation?,"Backpropagation oblicza gradient funkcji straty względem wag przez regułę łańcuchową. Najpierw wykonuje się forward pass i liczy stratę, potem od warstwy wyjściowej do wejściowej propaguje się pochodne lokalne, a optymalizator aktualizuje parametry. Backprop sam nie jest optymalizatorem; dostarcza gradienty, których używa np. SGD, Adam albo RMSProp.",Sieci_neuronowe
Po co w backpropagation stosuje się momentum?,"Momentum dodaje do aktualizacji wag składnik poprzedniego kroku, czyli pewną bezwładność. Pomaga przyspieszać ruch w długich płaskich dolinach funkcji straty i tłumi oscylacje w kierunkach o dużej krzywiźnie. W praktyce aktualizacja zależy nie tylko od bieżącego gradientu, ale też od wygładzonej historii gradientów.",Sieci_neuronowe
Czym jest katastroficzne zapominanie?,"Sieć uczona sekwencyjnie nowych zadań traci jakość na starych, bo nowe gradienty nadpisują wagi i reprezentacje istotne dla wcześniejszej wiedzy.",Sieci_neuronowe
Jak przeciwdziałać katastroficznemu zapominaniu?,"Przez rehearsal/replay, generative replay, regularyzację ważnych wag, modularność, zamrażanie i współdzielenie cech, dynamiczne rozszerzanie architektury albo distillation.",Sieci_neuronowe
Czy automat niedeterministyczny rozpoznaje więcej języków regularnych niż deterministyczny?,"Nie. NFA i DFA rozpoznają dokładnie tę samą klasę języków regularnych. Niedeterminizm może zmniejszyć opis automatu, ale każdy NFA można skonstruować równoważny DFA metodą podzbiorów.",Teoria_i_złożoność
Do czego służy lemat o pompowaniu dla języków regularnych?,"Najczęściej do pokazywania, że język nie jest regularny. Zakłada się regularność, wybiera długie słowo i wykazuje, że żaden dopuszczalny podział nie daje poprawnego pompowania.",Teoria_i_złożoność
Czym problem rozstrzygalny różni się od częściowo rozstrzygalnego?,"Problem rozstrzygalny ma maszynę, która zawsze się zatrzymuje i daje poprawną odpowiedź. Częściowo rozstrzygalny zatrzymuje się dla odpowiedzi TAK, ale dla NIE może działać w nieskończoność.",Teoria_i_złożoność
Po co stosuje się redukcje wielomianowe w teorii złożoności?,"Pozwalają przenosić trudność między problemami. Jeśli A redukuje się do B w czasie wielomianowym, to szybki algorytm dla B dałby szybki algorytm dla A.",Teoria_i_złożoność
Czym NP-trudność różni się od NP-zupełności?,"Problem NP-trudny jest co najmniej tak trudny jak problemy z NP, ale nie musi sam należeć do NP ani być decyzyjny. NP-zupełny jest NP-trudny i należy do NP.",Teoria_i_złożoność
Czym algorytm Las Vegas różni się od Monte Carlo?,"Las Vegas zawsze zwraca poprawny wynik, ale ma losowy czas działania. Monte Carlo ma ograniczony czas, ale dopuszcza małe prawdopodobieństwo błędu.",Teoria_i_złożoność
Co oznacza analiza amortyzowana?,"Bada średni koszt operacji w najgorszym ciągu operacji, bez zakładania rozkładu probabilistycznego. Droga operacja może być dopuszczalna, jeśli występuje rzadko.",Teoria_i_złożoność
Jaka jest dolna granica dla sortowania przez porównania?,"Każdy algorytm sortowania oparty wyłącznie na porównaniach potrzebuje w najgorszym przypadku Omega(n log n) porównań, bo drzewo decyzyjne musi rozróżnić n! permutacji.",Teoria_i_złożoność
Kiedy algorytm Dijkstry daje poprawne najkrótsze ścieżki?,"Gdy wszystkie wagi krawędzi są nieujemne. Wtedy po zdjęciu wierzchołka z kolejki jego odległość jest już ostateczna, co nie musi być prawdą przy wagach ujemnych.",Algorytmy_i_numeryczne
